names,yeo17,yeo17ind
L_V1_ROI,VisPeri,3
L_MST_ROI,VisCent,2
L_V6_ROI,VisPeri,3
L_V2_ROI,VisPeri,3
L_V3_ROI,VisCent,2
L_V4_ROI,VisCent,2
L_V8_ROI,VisCent,2
L_4_ROI,SomMotA,4
L_3b_ROI,SomMotA,4
L_FEF_ROI,DorsAttnB,7
L_PEF_ROI,ContA,12
L_55b_ROI,SomMotB,5
L_V3A_ROI,VisCent,2
L_RSC_ROI,ContC,14
L_POS2_ROI,ContC,14
L_V7_ROI,VisCent,2
L_IPS1_ROI,DorsAttnA,6
L_FFC_ROI,DorsAttnA,6
L_V3B_ROI,VisCent,2
L_LO1_ROI,VisCent,2
L_LO2_ROI,VisCent,2
L_PIT_ROI,VisCent,2
L_MT_ROI,VisCent,2
L_A1_ROI,SomMotB,5
L_PSL_ROI,SomMotB,5
L_SFL_ROI,DefaultB,16
L_PCV_ROI,ContC,14
L_STV_ROI,TempPar,18
L_7Pm_ROI,ContC,14
L_7m_ROI,DefaultA,15
L_POS1_ROI,DefaultC,17
L_23d_ROI,DefaultA,15
L_v23ab_ROI,DefaultA,15
L_d23ab_ROI,DefaultA,15
L_31pv_ROI,DefaultA,15
L_5m_ROI,SomMotA,4
L_5mv_ROI,SalVentAttnA,8
L_23c_ROI,SalVentAttnA,8
L_5L_ROI,SomMotA,4
L_24dd_ROI,SomMotA,4
L_24dv_ROI,SomMotA,4
L_7AL_ROI,DorsAttnB,7
L_SCEF_ROI,SalVentAttnA,8
L_6ma_ROI,DorsAttnB,7
L_7Am_ROI,DorsAttnA,6
L_7PL_ROI,DorsAttnA,6
L_7PC_ROI,DorsAttnA,6
L_LIPv_ROI,DorsAttnA,6
L_VIP_ROI,DorsAttnA,6
L_MIP_ROI,DorsAttnA,6
L_1_ROI,SomMotA,4
L_2_ROI,SomMotA,4
L_3a_ROI,SomMotA,4
L_6d_ROI,SomMotA,4
L_6mp_ROI,SomMotA,4
L_6v_ROI,SomMotB,5
L_p24pr_ROI,SalVentAttnA,8
L_33pr_ROI,SalVentAttnB,9
L_a24pr_ROI,SalVentAttnA,8
L_p32pr_ROI,SalVentAttnA,8
L_a24_ROI,DefaultA,15
L_d32_ROI,DefaultA,15
L_8BM_ROI,ContB,13
L_p32_ROI,DefaultA,15
L_10r_ROI,DefaultA,15
L_47m_ROI,DefaultB,16
L_8Av_ROI,ContB,13
L_8Ad_ROI,DefaultA,15
L_9m_ROI,DefaultA,15
L_8BL_ROI,DefaultB,16
L_9p_ROI,DefaultA,15
L_10d_ROI,DefaultA,15
L_8C_ROI,ContA,12
L_44_ROI,ContA,12
L_45_ROI,DefaultB,16
L_47l_ROI,DefaultB,16
L_a47r_ROI,ContB,13
L_6r_ROI,SalVentAttnA,8
L_IFJa_ROI,ContA,12
L_IFJp_ROI,ContA,12
L_IFSp_ROI,ContA,12
L_IFSa_ROI,ContA,12
L_p9-46v_ROI,ContA,12
L_46_ROI,SalVentAttnB,9
L_a9-46v_ROI,ContB,13
L_9-46d_ROI,SalVentAttnB,9
L_9a_ROI,DefaultB,16
L_10v_ROI,LimbicB,11
L_a10p_ROI,LimbicB,11
L_10pp_ROI,LimbicB,11
L_11l_ROI,LimbicB,11
L_13l_ROI,LimbicB,11
L_OFC_ROI,LimbicB,11
L_47s_ROI,DefaultB,16
L_LIPd_ROI,ContA,12
L_6a_ROI,DorsAttnB,7
L_i6-8_ROI,DorsAttnB,7
L_s6-8_ROI,DefaultA,15
L_43_ROI,SomMotB,5
L_OP4_ROI,SomMotB,5
L_OP1_ROI,SomMotB,5
L_OP2-3_ROI,SomMotB,5
L_52_ROI,SomMotB,5
L_RI_ROI,SomMotB,5
L_PFcm_ROI,SalVentAttnA,8
L_PoI2_ROI,SalVentAttnA,8
L_TA2_ROI,SomMotB,5
L_FOP4_ROI,SalVentAttnA,8
L_MI_ROI,SalVentAttnA,8
L_Pir_ROI,???,1
L_AVI_ROI,SalVentAttnB,9
L_AAIC_ROI,SalVentAttnA,8
L_FOP1_ROI,SalVentAttnA,8
L_FOP3_ROI,SalVentAttnA,8
L_FOP2_ROI,SalVentAttnA,8
L_PFt_ROI,DorsAttnB,7
L_AIP_ROI,DorsAttnB,7
L_EC_ROI,LimbicA,10
L_PreS_ROI,DefaultC,17
L_H_ROI,???,1
L_ProS_ROI,VisPeri,3
L_PeEc_ROI,LimbicA,10
L_STGa_ROI,LimbicA,10
L_PBelt_ROI,SomMotB,5
L_A5_ROI,TempPar,18
L_PHA1_ROI,DefaultC,17
L_PHA3_ROI,DefaultC,17
L_STSda_ROI,TempPar,18
L_STSdp_ROI,DefaultB,16
L_STSvp_ROI,DefaultB,16
L_TGd_ROI,LimbicA,10
L_TE1a_ROI,DefaultB,16
L_TE1p_ROI,ContB,13
L_TE2a_ROI,LimbicA,10
L_TF_ROI,LimbicA,10
L_TE2p_ROI,DorsAttnA,6
L_PHT_ROI,DorsAttnB,7
L_PH_ROI,DorsAttnA,6
L_TPOJ1_ROI,TempPar,18
L_TPOJ2_ROI,DorsAttnA,6
L_TPOJ3_ROI,DorsAttnA,6
L_DVT_ROI,VisPeri,3
L_PGp_ROI,VisCent,2
L_IP2_ROI,ContA,12
L_IP1_ROI,ContA,12
L_IP0_ROI,DorsAttnA,6
L_PFop_ROI,SomMotB,5
L_PF_ROI,SalVentAttnA,8
L_PFm_ROI,ContB,13
L_PGi_ROI,DefaultB,16
L_PGs_ROI,DefaultA,15
L_V6A_ROI,VisPeri,3
L_VMV1_ROI,VisPeri,3
L_VMV3_ROI,VisCent,2
L_PHA2_ROI,DefaultC,17
L_V4t_ROI,VisCent,2
L_FST_ROI,DorsAttnA,6
L_V3CD_ROI,VisCent,2
L_LO3_ROI,VisCent,2
L_VMV2_ROI,VisCent,2
L_31pd_ROI,DefaultA,15
L_31a_ROI,DefaultA,15
L_VVC_ROI,VisCent,2
L_25_ROI,LimbicB,11
L_s32_ROI,DefaultA,15
L_pOFC_ROI,LimbicB,11
L_PoI1_ROI,SalVentAttnA,8
L_Ig_ROI,SomMotB,5
L_FOP5_ROI,SalVentAttnA,8
L_p10p_ROI,LimbicB,11
L_p47r_ROI,ContA,12
L_TGv_ROI,LimbicA,10
L_MBelt_ROI,SomMotB,5
L_LBelt_ROI,SomMotB,5
L_A4_ROI,SomMotB,5
L_STSva_ROI,DefaultB,16
L_TE1m_ROI,DefaultB,16
L_PI_ROI,SalVentAttnA,8
L_a32pr_ROI,SalVentAttnB,9
L_p24_ROI,DefaultA,15
R_V1_ROI,VisCent,2
R_MST_ROI,DorsAttnA,6
R_V6_ROI,VisPeri,3
R_V2_ROI,VisCent,2
R_V3_ROI,VisCent,2
R_V4_ROI,VisCent,2
R_V8_ROI,VisCent,2
R_4_ROI,SomMotA,4
R_3b_ROI,SomMotA,4
R_FEF_ROI,SomMotA,4
R_PEF_ROI,DorsAttnB,7
R_55b_ROI,SalVentAttnA,8
R_V3A_ROI,VisCent,2
R_RSC_ROI,ContC,14
R_POS2_ROI,ContC,14
R_V7_ROI,VisCent,2
R_IPS1_ROI,DorsAttnA,6
R_FFC_ROI,VisCent,2
R_V3B_ROI,VisCent,2
R_LO1_ROI,VisCent,2
R_LO2_ROI,VisCent,2
R_PIT_ROI,VisCent,2
R_MT_ROI,DorsAttnA,6
R_A1_ROI,SomMotB,5
R_PSL_ROI,SalVentAttnA,8
R_SFL_ROI,SalVentAttnA,8
R_PCV_ROI,ContC,14
R_STV_ROI,TempPar,18
R_7Pm_ROI,ContC,14
R_7m_ROI,DefaultA,15
R_POS1_ROI,DefaultC,17
R_23d_ROI,SalVentAttnA,8
R_v23ab_ROI,DefaultA,15
R_d23ab_ROI,DefaultA,15
R_31pv_ROI,DefaultA,15
R_5m_ROI,SomMotA,4
R_5mv_ROI,SalVentAttnA,8
R_23c_ROI,SalVentAttnA,8
R_5L_ROI,SomMotA,4
R_24dd_ROI,SomMotA,4
R_24dv_ROI,SomMotA,4
R_7AL_ROI,DorsAttnB,7
R_SCEF_ROI,SalVentAttnA,8
R_6ma_ROI,SalVentAttnA,8
R_7Am_ROI,DorsAttnB,7
R_7PL_ROI,DorsAttnA,6
R_7PC_ROI,DorsAttnB,7
R_LIPv_ROI,DorsAttnA,6
R_VIP_ROI,DorsAttnA,6
R_MIP_ROI,DorsAttnA,6
R_1_ROI,SomMotA,4
R_2_ROI,SomMotA,4
R_3a_ROI,SomMotA,4
R_6d_ROI,SomMotA,4
R_6mp_ROI,SomMotA,4
R_6v_ROI,SomMotB,5
R_p24pr_ROI,SalVentAttnA,8
R_33pr_ROI,SalVentAttnA,8
R_a24pr_ROI,SalVentAttnA,8
R_p32pr_ROI,SalVentAttnA,8
R_a24_ROI,DefaultA,15
R_d32_ROI,SalVentAttnB,9
R_8BM_ROI,ContB,13
R_p32_ROI,DefaultA,15
R_10r_ROI,DefaultA,15
R_47m_ROI,ContB,13
R_8Av_ROI,ContB,13
R_8Ad_ROI,DefaultA,15
R_9m_ROI,DefaultA,15
R_8BL_ROI,DefaultB,16
R_9p_ROI,DefaultA,15
R_10d_ROI,DefaultA,15
R_8C_ROI,ContB,13
R_44_ROI,SalVentAttnB,9
R_45_ROI,DefaultB,16
R_47l_ROI,DefaultB,16
R_a47r_ROI,ContB,13
R_6r_ROI,SalVentAttnA,8
R_IFJa_ROI,ContA,12
R_IFJp_ROI,ContA,12
R_IFSp_ROI,ContA,12
R_IFSa_ROI,ContA,12
R_p9-46v_ROI,ContA,12
R_46_ROI,SalVentAttnB,9
R_a9-46v_ROI,SalVentAttnB,9
R_9-46d_ROI,SalVentAttnB,9
R_9a_ROI,SalVentAttnB,9
R_10v_ROI,LimbicB,11
R_a10p_ROI,ContB,13
R_10pp_ROI,LimbicB,11
R_11l_ROI,LimbicB,11
R_13l_ROI,LimbicB,11
R_OFC_ROI,LimbicB,11
R_47s_ROI,DefaultB,16
R_LIPd_ROI,DorsAttnA,6
R_6a_ROI,DorsAttnB,7
R_i6-8_ROI,ContB,13
R_s6-8_ROI,ContB,13
R_43_ROI,SomMotB,5
R_OP4_ROI,SomMotB,5
R_OP1_ROI,SomMotB,5
R_OP2-3_ROI,SomMotB,5
R_52_ROI,SomMotB,5
R_RI_ROI,SomMotB,5
R_PFcm_ROI,SalVentAttnA,8
R_PoI2_ROI,SalVentAttnA,8
R_TA2_ROI,SomMotB,5
R_FOP4_ROI,SalVentAttnA,8
R_MI_ROI,SalVentAttnA,8
R_Pir_ROI,???,1
R_AVI_ROI,SalVentAttnB,9
R_AAIC_ROI,SalVentAttnA,8
R_FOP1_ROI,SalVentAttnA,8
R_FOP3_ROI,SalVentAttnA,8
R_FOP2_ROI,SalVentAttnA,8
R_PFt_ROI,DorsAttnB,7
R_AIP_ROI,DorsAttnB,7
R_EC_ROI,LimbicA,10
R_PreS_ROI,VisPeri,3
R_H_ROI,???,1
R_ProS_ROI,VisPeri,3
R_PeEc_ROI,LimbicA,10
R_STGa_ROI,TempPar,18
R_PBelt_ROI,SomMotB,5
R_A5_ROI,TempPar,18
R_PHA1_ROI,DefaultC,17
R_PHA3_ROI,DefaultC,17
R_STSda_ROI,TempPar,18
R_STSdp_ROI,TempPar,18
R_STSvp_ROI,DefaultB,16
R_TGd_ROI,LimbicA,10
R_TE1a_ROI,DefaultA,15
R_TE1p_ROI,ContB,13
R_TE2a_ROI,LimbicA,10
R_TF_ROI,LimbicA,10
R_TE2p_ROI,DorsAttnA,6
R_PHT_ROI,ContA,12
R_PH_ROI,DorsAttnA,6
R_TPOJ1_ROI,TempPar,18
R_TPOJ2_ROI,DorsAttnA,6
R_TPOJ3_ROI,DorsAttnA,6
R_DVT_ROI,VisPeri,3
R_PGp_ROI,VisCent,2
R_IP2_ROI,ContA,12
R_IP1_ROI,ContA,12
R_IP0_ROI,DorsAttnA,6
R_PFop_ROI,SalVentAttnA,8
R_PF_ROI,SalVentAttnA,8
R_PFm_ROI,ContB,13
R_PGi_ROI,DefaultA,15
R_PGs_ROI,ContB,13
R_V6A_ROI,VisPeri,3
R_VMV1_ROI,VisPeri,3
R_VMV3_ROI,VisCent,2
R_PHA2_ROI,DefaultC,17
R_V4t_ROI,VisCent,2
R_FST_ROI,DorsAttnA,6
R_V3CD_ROI,VisCent,2
R_LO3_ROI,VisCent,2
R_VMV2_ROI,VisCent,2
R_31pd_ROI,DefaultA,15
R_31a_ROI,ContC,14
R_VVC_ROI,VisCent,2
R_25_ROI,LimbicB,11
R_s32_ROI,LimbicB,11
R_pOFC_ROI,LimbicB,11
R_PoI1_ROI,SalVentAttnA,8
R_Ig_ROI,SomMotB,5
R_FOP5_ROI,SalVentAttnB,9
R_p10p_ROI,ContB,13
R_p47r_ROI,SalVentAttnB,9
R_TGv_ROI,LimbicA,10
R_MBelt_ROI,SomMotB,5
R_LBelt_ROI,SomMotB,5
R_A4_ROI,SomMotB,5
R_STSva_ROI,DefaultA,15
R_TE1m_ROI,ContB,13
R_PI_ROI,SalVentAttnA,8
R_a32pr_ROI,SalVentAttnB,9
R_p24_ROI,DefaultA,15
